Date,Open,High,Low,Close,Volume,Adj Close
2015-04-07,1457.00,1470.00,1432.50,1449.05,335500,1440.435
2015-04-06,1420.00,1452.00,1400.00,1447.75,309200,1439.143
2015-04-03,1412.50,1412.50,1412.50,1412.50,000,1404.103
2015-04-02,1412.50,1412.50,1412.50,1412.50,000,1404.103
2015-04-01,1397.10,1419.00,1392.55,1412.50,161800,1404.103
2015-03-31,1418.85,1438.95,1391.30,1396.75,326400,1388.446
2015-03-30,1398.80,1418.55,1381.00,1414.00,235300,1405.594
2015-03-27,1365.00,1394.00,1340.00,1381.35,269900,1373.138
2015-03-26,1359.95,1386.00,1341.45,1355.20,693100,1347.143
2015-03-25,1348.90,1368.00,1338.60,1364.50,357400,1356.388
2015-03-24,1337.00,1353.40,1318.75,1338.70,305100,1330.741
2015-03-23,1374.95,1383.25,1335.55,1347.75,247600,1339.738
2015-03-20,1354.00,1387.65,1346.00,1367.95,314700,1359.817
2015-03-19,1417.00,1433.80,1360.50,1368.45,352600,1360.314
2015-03-18,1416.00,1439.00,1396.80,1403.65,348600,1395.305
2015-03-17,1402.40,1435.95,1383.30,1408.30,667500,1399.928
2015-03-16,1442.10,1448.80,1376.05,1395.20,381400,1386.905
2015-03-13,1479.85,1500.00,1421.40,1432.75,580200,1424.232
2015-03-12,1401.00,1489.80,1392.65,1471.95,543300,1463.199
2015-03-11,1385.45,1407.90,1375.10,1391.85,392300,1383.575
2015-03-10,1359.35,1380.90,1350.00,1368.50,283300,1360.364
2015-03-09,1375.00,1403.90,1355.90,1363.35,281500,1355.245
2015-03-06,1376.10,1376.10,1376.10,1376.10,000,1367.919
2015-03-05,1423.00,1423.70,1355.85,1376.10,445800,1367.919
2015-03-04,1435.00,1452.45,1401.40,1411.25,319100,1402.86
2015-03-03,1404.00,1450.00,1400.00,1428.15,384500,1419.66
2015-03-02,1340.10,1424.85,1324.55,1400.20,466800,1391.876
2015-02-27,1270.00,1339.90,1262.45,1327.70,660000,1319.807
2015-02-26,1349.00,1368.50,1272.05,1280.20,1109700,1272.589
2015-02-25,1275.00,1355.00,1275.00,1340.75,770100,1332.779
2015-02-24,1281.00,1288.00,1257.00,1269.85,230400,1262.301
2015-02-23,1262.00,1291.80,1255.80,1277.05,309100,1269.458
2015-02-20,1270.00,1276.00,1251.50,1257.90,173400,1250.422
2015-02-19,1254.80,1277.00,1242.10,1271.30,334600,1263.742
